Seed  RobotPosition  N  ClosestSingleton  FarestSingleton  ClosestAllSingleton  FarestAllSingleton  Time
1464701016505	(2,2)	2	1	2	2	2	4
1464701017222	(2,1)	2	1	2	2	2	5
1464701017628	(2,2)	2	1	2	2	2	4
1464701017892	(2,2)	2	1	2	2	2	4
1464701018223	(1,1)	2	1	2	2	2	5
1464701018489	(2,1)	2	1	2	2	2	5
1464701018746	(1,1)	2	1	2	2	2	5
1464701019081	(1,1)	2	1	2	2	2	4
1464701019381	(1,1)	2	1	2	2	2	4
1464701019674	(1,2)	2	1	2	2	2	5
1464701019955	(1,2)	2	1	2	2	2	5
1464701020241	(2,2)	2	1	2	2	2	5
1464701020493	(2,1)	2	1	2	2	2	4
1464701020762	(2,2)	2	1	2	2	2	5
1464701021068	(2,1)	2	1	2	2	2	5
1464701021444	(2,1)	2	1	2	2	2	4
1464701021724	(2,2)	2	1	2	2	2	4
1464701022070	(2,2)	2	1	2	2	2	5
1464701022323	(2,2)	2	1	2	2	2	5
1464701022708	(2,2)	2	1	2	2	2	6
1464701023069	(2,2)	2	1	2	2	2	5
1464701023375	(2,1)	2	1	2	2	2	4
1464701023627	(2,1)	2	1	2	2	2	4
1464701023896	(2,1)	2	1	2	2	2	4
1464701024140	(2,2)	2	1	2	2	2	6
1464701024396	(1,1)	2	1	2	2	2	4
1464701024678	(1,1)	2	1	2	2	2	7
1464701025001	(1,2)	2	1	2	2	2	6
1464701025315	(2,1)	2	1	2	2	2	4
1464701025669	(2,2)	2	1	2	2	2	6
1464701025992	(2,2)	2	1	2	2	2	6
1464701026304	(2,1)	2	1	2	2	2	4
1464701026596	(2,2)	2	1	2	2	2	7
1464701026867	(1,2)	2	1	2	2	2	5
1464701027201	(2,2)	2	1	2	2	2	5
1464701027451	(1,2)	2	1	2	2	2	8
1464701027719	(1,1)	2	1	2	2	2	4
1464701028066	(1,1)	2	1	2	2	2	5
1464701028341	(1,2)	2	1	2	2	2	4
1464701028695	(2,2)	2	1	2	2	2	5
1464701029015	(3,2)	3	2	7	4	7	36
1464701029403	(3,2)	3	2	8	4	8	53
1464701029791	(1,2)	3	2	8	4	7	50
1464701030238	(1,2)	3	2	6	4	4	22
1464701030534	(2,1)	3	2	8	4	7	45
1464701030874	(3,1)	3	2	6	4	6	25
1464701031231	(2,2)	3	2	7	4	7	48
1464701031610	(3,2)	3	2	8	4	8	29
1464701031999	(3,3)	3	2	9	4	9	53
1464701032347	(1,1)	3	2	9	4	9	39
1464701032679	(1,2)	3	2	6	4	4	24
1464701033108	(2,1)	3	2	8	4	8	31
1464701033454	(1,3)	3	2	9	4	9	38
1464701033771	(1,1)	3	2	7	4	7	32
1464701034164	(3,3)	3	2	9	4	9	39
1464701034522	(3,2)	3	2	8	4	8	46
1464701034885	(1,3)	3	2	7	4	7	59
1464701035240	(1,3)	3	2	7	4	7	46
1464701035587	(1,3)	3	2	7	4	7	50
1464701035961	(2,2)	3	2	7	4	7	45
1464701036322	(3,1)	3	2	9	4	9	40
1464701036715	(3,2)	3	2	7	4	7	50
1464701037070	(3,1)	3	2	7	4	7	46
1464701037476	(2,1)	3	2	8	4	8	29
1464701037802	(1,1)	3	2	7	4	7	48
1464701038183	(1,2)	3	2	8	4	7	43
1464701038596	(3,3)	3	2	7	4	7	32
1464701038935	(2,1)	3	2	8	4	7	44
1464701039272	(3,3)	3	2	7	4	7	36
1464701039600	(2,2)	3	2	7	4	7	55
1464701039973	(2,1)	3	2	8	4	8	26
1464701040291	(3,2)	3	2	8	4	8	45
